role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
3Ds Max,Sandeep Geeta And Associates Private Limited,Not hiring,"Faridabad, Delhi, Gurgaon, Noida                                                            (Hybrid)",1 Month,"5,000","Communication, Teamwork"
Search Engine Optimization (SEO),Quincare Pharmaceuticals Private Limited,Not hiring,Nagpur                                                            (Hybrid),6 Months," 2,000-5,000 ","SEO, Google Analytics, Keyword Research"
Human Resources (HR),Capital India Finance Limited,Not hiring,Mumbai,6 Months," 10,000-15,000 ","Recruitment, HR Management, Communication"
HR Consultant,Emami Limited,Not hiring,Kolkata,6 Months,"5,000","Consulting, Analysis, Presentation"
Customer Service/Customer Support,NEC Corporation India Private Limited,Not hiring,Noida                                                            (Hybrid),6 Months,"10,000","Communication, Teamwork"
Accounting & Bookkeeping,Hryday Enterprises,Not hiring,Mumbai,3 Months,"4,000","Accounting, Tally, Excel"
Graphic Design,Aggarwal Chemicals International,Not hiring,Work from home,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Java Development,Monkhub,Actively hiring,Gurgaon,6 Months," 7,000-10,000 ","springboot, JPA, Maven"
Teaching,Bricks 4 Kidz,Not hiring,Delhi,6 Months," 14,000-15,000 ","Teaching, Curriculum Design, Communication"
Java Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months,"15,000","springboot, JPA, Maven"
Video Editing/Making,Career-Domain,Actively hiring,Work from home,3 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Human Resources (HR),ONE XL INFO LLP,Actively hiring,Pune,6 Months,"5,000","Recruitment, HR Management, Communication"
Graphic Design,Homoeoneeds,Not hiring,Work from home,3 Months," 5,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),SeriesX Marketing,Not hiring,Work from home,3 Months,"15,000","Sales, Negotiation, Business Strategy"
Events Audience Generation Specialist,Kestone Global,Not hiring,"Delhi, Bangalore                                                            (Hybrid)",3 Months,"18,000","Communication, Teamwork"
Social Media Video Content Creator (Instagram & YouTube),Vertical Corporation,Not hiring,Work from home,6 Months," 5,000-40,000 ","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),The Content Co.,Actively hiring,Work from home,3 Months," 15,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,OceanicBridge Exports Private Limited,Not hiring,Hyderabad,3 Months,"6,000","Marketing Strategy, Communication, Market Research"
Lead Generation,OfBusiness (OFB Tech Private Limited),Not hiring,Gurgaon,4 Months," 17,000-22,000 ","Communication, Teamwork"
Full Stack Development,Imperio Railing Systems,Actively hiring,Mumbai,3 Months,"5,000","React,Node,Express,Next,SQL"
Finance,Integra Capital Management Limited,Not hiring,Delhi,3 Months,"5,000","Excel, Financial Analysis, Accounting"
Content Writing,Grey Mantel Communications,Not hiring,Work from home,6 Months," 3,000-8,000 ","Content Writing, Editing, SEO"
Social Media,Ally Digital Media,Not hiring,Mumbai,6 Months," 5,000-10,000 ","Social Media, Content Creation, Analytics"
Architecture,ARCHORALE DESIGN STUDIO,Not hiring,Gurgaon                                                            (Hybrid),6 Months,"5,000","AutoCAD, Architecture Design, 3D Modeling"
PHP Development,INFOWAY,Not hiring,Mumbai,6 Months," 5,000-6,000 ","Communication, Teamwork"
UI/UX Design,Tournamax,Not hiring,Work from home,3 Months,"2,000","Figma, Wireframing, Prototyping"
Marketing,Trelish,Not hiring,Pune,3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Startup Analyst,Favcy,Not hiring,Delhi,3 Months,"8,000","Communication, Teamwork"
Graphic Design,Maxburn Private Limited,Not hiring,Bangalore,3 Months," 15,000-20,000 ","Graphic Design, Photoshop, Illustrator"
Mobile App Development,Sensekriti Innovation Private Limited,Not hiring,Haridwar,3 Months," 5,000-10,000 ","Android, Kotlin, Java"
Social Media Marketing,Edovu Ventures Private Limited,Not hiring,Gurgaon,3 Months," 8,000-12,000 ","Marketing Strategy, Communication, Market Research"
Digital Marketing,Technocratiq Digital,Not hiring,Work from home,4 Months,"5,000","SEO, Google Ads, Social Media Marketing"
CI/DevOps Engineer,Secure Machines Private Limited,Not hiring,Bangalore,6 Months,"20,000","Communication, Teamwork"
Telecalling,Card Expertise India Private Limited,Not hiring,Noida,5 Months," 8,000-12,000 ","Communication, Sales, Customer Handling"
Social Media Marketing,Ranbir Mukherjee,Not hiring,Mumbai,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Content Creator & Digital Marketer,Whybee,Not hiring,Bangalore                                                            (Hybrid),2 Months," 10,000-15,000 ","Content Writing, Editing, SEO"
Marketing,Optimed Corporation,Not hiring,Mumbai,3 Months,"7,000","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Learning Routes,Not hiring,Gurgaon,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Talent Acquisition,Value Jobs Consulting Private Limited,Not hiring,Delhi,2 Months,"10,000","Communication, Teamwork"
Data Analytics,Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months,"20,000","Python, SQL, Data Analysis"
Marketing,O Hi,Not hiring,Jaipur,3 Months," 12,000-15,000 ","Marketing Strategy, Communication, Market Research"
Content Development (English),Scoopearth,Not hiring,Work from home,2 Months,"3,000","Content Writing, Editing, SEO"
Social Media Marketing,Kush Nagda,Not hiring,Work from home,6 Months,"2,000","Marketing Strategy, Communication, Market Research"
Digital Marketing,Choira Musictech Private Limited,Not hiring,Mumbai,3 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Digital Marketing,Navjot64,Not hiring,Work from home,2 Months,"2,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),Arcelton,Not hiring,"Thane, Mumbai                                                            (Hybrid)",2 Months," 8,000-15,000 ","Sales, Negotiation, Business Strategy"
Administration,Weblingos Technologies,Not hiring,Work from home,3 Months,"5,000","Administration, Coordination, MS Office"
Reactjs Development,QuadB Tech,Actively hiring,Ludhiana,6 Months,"10,000","React,javaScript,Express"
Business Development For Film Production House,S17.Film,Not hiring,Mumbai                                                            (Hybrid),3 Months,"10,000","Sales, Negotiation, Business Strategy"
Digital Marketing,QPe,Not hiring,"Faridabad, Delhi, Gurgaon",6 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Full Stack Development,Sobonix Solutions Private Limited,Not hiring,"Chandigarh, Delhi, Kurukshetra, Punjab, Himachal Pradesh",6 Months,"5,000","React,Node,Express,Next,SQL"
Business Development (Sales),SageBhrigu,Not hiring,Work from home,3 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Flutter Development,CapriTech Global Services Private Limited,Not hiring,Mumbai,6 Months,"7,000","Communication, Teamwork"
Data Entry,vCommission Media Private Limited,Not hiring,Mohali,6 Months,"10,000","Excel,python,SQL"
Business Development (Sales),Kunal Jain,Not hiring,Work from home,2 Months,"4,000","Sales, Negotiation, Business Strategy"
Copywriting,Microblank,Not hiring,Work from home,1 Month, 250 /week +  Incentives,"Communication, Teamwork"
Content Development (English),Fixsnag Enterprises Private Limited,Not hiring,Bangalore                                                            (Hybrid),5 Months," 5,000  +  Incentives","Content Writing, Editing, SEO"
Videography,Cyberninza Services,Not hiring,Gurgaon                                                            (Hybrid),6 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Web Development,The Solution Providers,Not hiring,Work from home,1 Month," 1,000  +  Incentives","HTML,css,react,node,mongoDB"
Software Development,Heel Tech Solutions,Not hiring,Vijayawada,6 Months," 2,000  +  Incentives","Communication, Teamwork"
Social Media,Indian Investing Conclave,Not hiring,Delhi,2 Months,"15,000","Social Media, Content Creation, Analytics"
Social Media Marketing,ViralEdits,Not hiring,Work from home,5 Months,"1,000","Marketing Strategy, Communication, Market Research"
Marketing,Formett F & B Private Limited,Not hiring,Jaipur,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Ignitize Consulting Services Private Limited,Not hiring,Gurgaon,6 Months," 15,000-20,000 ","Video Editing, Premiere Pro, After Effects"
Logistics And Operations,Kishor Kalyanji Corp LLP,Not hiring,Mumbai,3 Months,"12,000","Operations Management, Coordination, MS Excel"
Architecture Content Writer,Kubo Architecture Studio,Not hiring,Work from home,2 Months,"5,000","Writing, SEO, Research"
Photography/Videography,Athul Prasda,Not hiring,Mumbai                                                            (Hybrid),3 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Content Writing,Shorthills AI,Not hiring,Gurgaon,6 Months,"11,000","Content Writing, Editing, SEO"
Project Management,Ritinjali,Not hiring,Delhi                                                            (Hybrid),3 Months,"4,000","Project Management, MS Project, Leadership"
Marketing Analyst,AdLift Marketing Private Limited,Not hiring,Gurgaon,3 Months,"12,000","Marketing Strategy, Communication, Market Research"
Graphic Design,Thinkerplace Private Limited,Not hiring,Mumbai,3 Months," 3,000-10,000 ","Graphic Design, Photoshop, Illustrator"
Search Engine Optimization (SEO),DigiFly Technology(OPC) Private Limited,Not hiring,Gurgaon                                                            (Hybrid),6 Months,"15,000","SEO, Google Analytics, Keyword Research"
Content Creation,PriceLabs,Actively hiring,Work from home,6 Months,"15,000","Content Writing, Editing, SEO"
Business Development (Sales),Easemyliving.com,Not hiring,Work from home,3 Months," 8,000  +  Incentives","Sales, Negotiation, Business Strategy"
Email Marketing,Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Front Office,AGR Knowledge Services Private Limited,Not hiring,Sion Koliwada,3 Months,"15,000","Communication, Teamwork"
Accounting & Bookkeeping,Kabia Investment Managers,Not hiring,Noida                                                            (Hybrid),6 Months,"5,000","Accounting, Tally, Excel"
Node.js Development,Quarks Technosoft Private Limited,Actively hiring,Noida,6 Months,"15,000","Communication, Teamwork"
Sales Executive,Capture Art,Not hiring,Work from home,6 Months,"10,000","Sales, Negotiation, CRM"
Business Development (Sales),Data Alt Dynamics,Not hiring,Delhi,6 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Human Resources (HR),Plus IT Business Park,Not hiring,Thrissur,1 Month," 5,000-7,000 ","Recruitment, HR Management, Communication"
Business Development (Sales),Pankhuri,Not hiring,Work from home,3 Months,"5,000","Sales, Negotiation, Business Strategy"
UI/UX Design,CodeInterns,Actively hiring,Work from home,1 Month,"1,000","Figma, Wireframing, Prototyping"
Marketing,Arise,Not hiring,Delhi,4 Months,"3,500","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Brandmingo Media Private Limited,Not hiring,Noida,6 Months," 6,000-10,000 ","Sales, Negotiation, Business Strategy"
Marketing,Pinacle Web India,Not hiring,Work from home,3 Months," 3,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Performance Marketing - FB & Google Ads,Value Properties,Not hiring,Work from home,3 Months,"12,000","Marketing Strategy, Communication, Market Research"
Animation,The Designer Amma,Not hiring,Work from home,3 Months,"6,000","Communication, Teamwork"
Business Development (Sales),Unifynd Technologies,Not hiring,Mumbai,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Content Writing,Valasys Media,Not hiring,Pune,3 Months,"15,000","Content Writing, Editing, SEO"
Company Secretary (CS),S. RAJWANSHI AND CO.,Not hiring,Delhi,12 Months," 5,000-6,000 ","Communication, Teamwork"
Media & Public Relations (PR),PR Ways,Not hiring,Work from home,4 Months," 3,000-7,000 ","Communication, Teamwork"
Content Writing,Mind Oriented,Not hiring,Work from home,6 Months,"2,000","Content Writing, Editing, SEO"
Flutter Development,Mind Prabha Techonologies Private Limited,Not hiring,Pune,6 Months,"2,000","Communication, Teamwork"
Digital Marketing,Sinope Software,Not hiring,Bangalore,4 Months," 6,000-15,000 ","SEO, Google Ads, Social Media Marketing"
Digital Marketing,Dataplatr,Not hiring,Bangalore                                                            (Hybrid),6 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Talent Acquisition,ET Media Labs,Not hiring,Noida,6 Months,"10,000","Communication, Teamwork"
Digital Marketing,V Digitize U,Not hiring,Work from home,6 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),UltraGenius Tech Private Limited,Not hiring,Work from home,3 Months," 5,000-20,000 ","Sales, Negotiation, Business Strategy"
Digital Marketing,Samriddh Vyapar,Not hiring,Delhi,3 Months,"3,000","SEO, Google Ads, Social Media Marketing"
Growth Intern,DigitalPaani,Not hiring,Gurgaon,3 Months,"10,000","Communication, Teamwork"
Accounting & Taxation,AMM Public School,Not hiring,"Ghaziabad, Modinagar                                                            (Hybrid)",2 Months,"6,000","Accounting, Tally, Excel"
Human Resources (HR),APSK Production & Entertainment Private Limited,Actively hiring,Noida,3 Months," 5,000-7,000 ","Recruitment, HR Management, Communication"
Graphic Design,Achievers Brigade,Not hiring,Work from home,4 Months," 1,000  +  Incentives","Graphic Design, Photoshop, Illustrator"
Demand Generation Speciaist,Wocom Technologies Private Limited,Not hiring,Faridabad,6 Months," 10,000-12,000 ","Communication, Teamwork"
Social Media Marketing,StartupGyaan,Not hiring,Delhi                                                            (Hybrid),4 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Corporate Sales,APC CREATIONS,Not hiring,Delhi                                                            (Hybrid),3 Months," 5,000 /week","Sales, Negotiation, CRM"
Lead Generation,Light Clothing,Not hiring,Work from home,1 Month," 1,000  +  Incentives","Communication, Teamwork"
Content Writing,TradeHike Consulting,Actively hiring,Delhi                                                            (Hybrid),3 Months,"10,000","Content Writing, Editing, SEO"
Project Management,Rousing Designs,Not hiring,Bangalore                                                            (Hybrid),6 Months,"10,000","Project Management, MS Project, Leadership"
Content Writing,Flipshope,Not hiring,Jaipur,6 Months,"10,000","Content Writing, Editing, SEO"
Human Resources (HR),Pureplay Skin Sciences (I) Private Limited,Not hiring,Thane,3 Months,"12,000","Recruitment, HR Management, Communication"
UI/UX Design,SuprDine,Not hiring,Work from home,2 Months,"1,500","Figma, Wireframing, Prototyping"
Business Development (Sales),Oratrics The Personality School,Not hiring,Work from home,2 Months,"10,000","Sales, Negotiation, Business Strategy"
